"Timestamp","Lamp1","Lamp2","Lamp3","Lux","ColorTemperature","Red","Green","Blue",
1588053193301,0,0,0,550,5169,1126,1099,1119,
1588053223819,0,0,0,555,5160,1145,1114,1136,
1588053254230,0,0,0,577,5085,1208,1162,1181,
1588053284643,0,0,0,598,5102,1256,1209,1232,
1588053315181,0,0,0,1379,4380,3119,2742,2645,
1588053345677,0,0,0,877,5206,1775,1745,1777,
1588053376194,0,0,0,898,5407,1756,1777,1826,
1588053406706,0,0,0,837,5667,1585,1659,1730,
1588053437223,0,0,0,894,5611,1696,1765,1832,
1588053467640,0,0,0,916,5656,1723,1805,1876,
1588053498048,0,0,0,941,5704,1752,1849,1924,
1588053528567,0,0,0,927,5721,1729,1827,1906,
1588053558980,0,0,0,1043,5528,1997,2057,2125,
1588053589398,0,0,0,2396,4406,5342,4737,4572,
1588053620010,0,0,0,2440,4415,5439,4829,4667,
1588053650323,0,0,0,1881,4683,4047,3722,3661,
1588053680734,0,0,0,2466,4455,5488,4894,4750,
1588053711150,0,0,0,2489,4468,5530,4939,4796,
1588053741663,0,0,0,2559,4494,5638,5062,4919,
1588053772181,0,0,0,2500,4455,5586,4975,4834,
1588053802696,0,0,0,1801,4815,3863,3598,3584,
1588053833108,0,0,0,2446,4500,5439,4872,4751,
1588053863626,0,0,0,2455,4530,5410,4874,4756,
1588053894142,0,0,0,2369,4504,5280,4726,4612,
1588053924657,0,0,0,2276,4500,5117,4566,4466,
1588053955073,0,0,0,2213,4532,4961,4443,4356,
1588053985379,0,0,0,2264,4493,5124,4561,4469,
1588054015795,0,0,0,2233,4509,5048,4502,4418,
1588054046352,0,0,0,2267,4486,5149,4577,4488,
1588054076929,0,0,0,1691,4822,3671,3408,3410,
1588054107445,0,0,0,2341,4475,5298,4711,4610,
1588054137959,0,0,0,2380,4495,5345,4773,4670,
1588054168475,0,0,0,2348,4480,5299,4719,4617,
1588054199093,0,0,0,2360,4488,5300,4731,4627,
1588054229403,0,0,0,2351,4493,5283,4720,4623,
1588054259819,0,0,0,2346,4463,5320,4727,4628,
1588054290153,0,0,0,1209,5381,2409,2418,2493,
1588054320541,0,0,0,1106,5604,2117,2195,2283,
1588054350855,0,0,0,1847,4758,3976,3687,3663,
1588054381369,0,0,0,2080,4607,4590,4169,4112,
1588054411783,0,0,0,2561,4555,5618,5092,4989,
1588054442195,0,0,0,2526,4586,5531,5028,4938,
1588054472608,0,0,0,2350,4540,5250,4720,4639,
1588054503124,0,0,0,2220,4485,5074,4508,4437,
1588054533538,0,0,0,2190,4470,5047,4467,4402,
1588054564154,0,0,0,1934,4663,4338,3938,3925,
1588054594568,0,0,0,2364,4559,5305,4775,4713,
1588054624984,0,0,0,2411,4586,5349,4843,4776,
1588054655428,0,0,0,2368,4571,5292,4772,4708,
1588054685934,0,0,0,2281,4535,5183,4634,4577,
1588054716428,0,0,0,2280,4539,5206,4649,4601,
1588054746840,0,0,0,2250,4559,5142,4599,4562,
1588054777358,0,0,0,2349,4612,5281,4770,4734,
1588054807770,0,0,0,2448,4661,5415,4937,4900,
1588054838080,0,0,0,2347,4658,5220,4750,4720,
1588054868494,0,0,0,2225,4640,5025,4544,4529,
1588054898906,0,0,0,2202,4633,5000,4511,4501,
1588054929320,0,0,0,2178,4647,4958,4475,4475,
1588054959732,0,0,0,2188,4709,4922,4483,4494,
1588054990251,0,0,0,2236,4719,5007,4572,4583,
